Order_ID,Date,Product,Category,Region,Units_Sold,Unit_Price,Cost_Price
1001,2026-01-05,Laptop,Electronics,North,5,65000,52000
1002,2026-01-08,Headphones,Electronics,South,20,2500,1800
1003,2026-01-12,Office Chair,Furniture,East,8,7000,5200
1004,2026-01-15,Desk,Furniture,West,4,12000,9000
1005,2026-02-02,Monitor,Electronics,North,10,15000,12000
1006,2026-02-10,Keyboard,Electronics,East,25,1800,1200
1007,2026-02-18,Notebook,Stationery,South,100,80,40
1008,2026-03-01,Printer,Electronics,West,6,18000,14500
1009,2026-03-08,Pen Pack,Stationery,North,120,150,70
1010,2026-03-20,Bookshelf,Furniture,East,3,9500,7300
1011,2026-04-04,Mouse,Electronics,South,35,900,550
1012,2026-04-14,Whiteboard,Stationery,West,12,2200,1600
1013,2026-05-05,Tablet,Electronics,North,7,28000,22000
1014,2026-05-19,Cabinet,Furniture,South,5,15000,11800
1015,2026-06-02,Calculator,Stationery,East,30,600,380
1016,2026-06-15,Projector,Electronics,West,2,45000,37000
1017,2026-07-03,Study Table,Furniture,North,4,11000,8600
1018,2026-07-21,Markers,Stationery,South,50,300,180
1019,2026-08-11,USB Drive,Electronics,East,40,900,600
1020,2026-08-25,Lamp,Furniture,West,10,2500,1800
